path,size_bytes,last_commit_date,sqlite_hits,intelligence_dir_hits,openclaw_hits,vps_hits,todo_open_hits,phase1_hits,total_stale_hits,suggested_tier
.claude/commands/token-budget.md,3319,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/update-toolkit.md,4480,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/verify.md,5854,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/version.md,3083,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/worktree.md,3812,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/hooks/tests/README.md,1051,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/agents.md,1135,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/code-style.md,641,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/command-aliases.md,711,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/confirm-target.md,409,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/design-system/_index.md,2799,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/design-system/accessibility.md,2274,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/design-system/components.md,2426,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/design-system/foundations.md,4377,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/design-system/page-patterns.md,3841,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/design-system/spacing-patterns.md,3025,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/error-handling.md,919,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/git-workflow.md,449,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/performance.md,926,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/reuse-first.md,722,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/security.md,940,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/testing.md,765,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/rules/typescript.md,726,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/accessibility/SKILL.md,6065,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/accessibility/references/aria-patterns.md,9623,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/accessibility/references/wcag-checklist.md,2834,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/continuous-learning/SKILL.md,3807,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/data-fetching/SKILL.md,7081,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/design-system/SKILL.md,5191,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/dogfood/SKILL.md,14624,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/dogfood/references/browser-auth.md,9005,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/dogfood/references/issue-taxonomy.md,3626,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/dogfood/templates/dogfood-report-template.md,1470,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/migration-safety/SKILL.md,6243,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/napkin/SKILL.md,4919,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/pyramid-summary/SKILL.md,11290,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/react-patterns/SKILL.md,5076,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/security/SKILL.md,7589,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/testing/SKILL.md,8608,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/ui-design/SKILL.md,6119,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/skills/ui-design/references/vercel-guidelines.md,4344,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
archive/README.md,1386,2026-04-29,0,0,0,0,0,0,0,ARCHIVE-EXISTING
branding/BRANDING.md,11590,2026-04-29,0,0,0,0,0,0,0,REVIEW
deploy/openclaw-skills/guardian-db/references/schema.md,4943,2026-04-29,0,0,0,0,0,0,0,DELETE (openclaw)
docs/AI_DATA_AUDIT_2026-04-10.md,8852,2026-04-29,0,0,0,0,0,0,0,ARCHIVE (point-in-time)
docs/AMS_API.md,8529,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/AMS_INTEGRATION.md,9153,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/AURADINE_API.md,6488,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/AURADINE_ROLLBACK_STATUS.md,438,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/COMPLETE_AI_AUDIT_2026-04-10.md,9171,2026-04-29,0,0,0,0,0,0,0,ARCHIVE (point-in-time)
docs/COMPLETE_AI_AUDIT_V2_2026-04-10.md,15662,2026-04-29,0,0,0,0,0,0,0,ARCHIVE (point-in-time)
docs/CONFIDENCE_SCORING.md,6774,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/CONTAINER_SENSOR_REFERENCE.md,6616,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/DAILY_LOG_CAPTURE_VISION.md,11744,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/DG1_FIX_READY_TO_APPLY.md,223,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/DIRECT_LOG_COLLECTION.md,4037,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/EMPTY_STUB_TABLES.md,2371,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/FEEDBACK_LOOP_FIXES.md,4203,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/FINGERPRINTS_VS_PROFILES.md,938,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/HVAC_ARCHITECTURE.md,7878,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/INTELLIGENCE_REPORT_API.md,2635,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/OPERATOR_GUIDE.md,306,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/OPERATOR_RULES.md,4653,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/OVERNIGHT_TEST_STATUS_2026-04-13.md,3186,2026-04-29,0,0,0,0,0,0,0,ARCHIVE (point-in-time)
docs/PROFILE_MAP_QUESTIONS.md,4712,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/REFINED_INSIGHTS_DESIGN.md,7890,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/RELEASE_NOTES_v1.0.0.md,6793,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/RUNBOOK_2026-04-27_afternoon.md,9363,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/RUNBOOK_2026-04-28_pkg_build.md,13093,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/RUNBOOK_DISTRIBUTION_v1.0.0.md,11198,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/RUNBOOK_PKG_REBUILD.md,15845,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/SECURITY.md,3881,2026-04-29,0,0,0,0,0,0,0,REVIEW
docs/SESSION_LOG_2026-04-12.md,7135,2026-04-29,0,0,0,0,0,0,0,ARCHIVE (historical)
docs/SESSION_LOG_2026-04-16.md,5492,2026-04-29,0,0,0,0,0,0,0,ARCHIVE (historical)
docs/SESSION_LOG_2026-04-17.md,3456,2026-04-29,0,0,0,0,0,0,0,ARCHIVE (historical)
docs/SESSION_LOG_2026-04-18.md,3408,2026-04-29,0,0,0,0,0,0,0,ARCHIVE (historical)
